Review_8,Capacity,Noise_Level,Review_1,Review_3,Review_2,Review_5,Review_4,Review_7,Review_6,ASIN,Offer_Price,Brand,Part_Number,No_of_Reviews,Energy_Efficiency,Item_name,MRP,Control_Console,Model,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,Color,Wattage,Installation_Type,Average_Rating,Voltage,Item_href
,1.5 tons,43 dB,"Had bought the AC from a different seller, but posting the review so that others could get some ideaPACKAGEPresent:- 3mts copper tube- Plastic drain pipe- AC's internal and external units- Remote & batteriesNot Present:- 15 Amp power socketSERVICEGood:- The voltas service guys came within 48 of booking the installation request via call centerBad:- The service engineers not properly trained and missed precision- Did not carry extra copper tubes\stand, so they had to go out again to get that- They took 6 hours to install the AC, which is very long timeREVIEWGood:- The cooling is really good.- Silent- Remote looks good. Has display screen which shows the AC running mode and the temperature.- Has all the basic features which are required for basic home need.Bad:- The AC design is just old styled, but is compensated looking at cost and cooling performance.CONCLUSION- Bought a 3 star AC as need it for 3-4 hours during summers. Buying a 5 star AC did not make much of a sense as the usage is not very high. It is suggested to buy 3 star if you use AC form more than 12 hours a day.- Cooling is really good, so do not get concerned in respect to cooling when you are buying this model.Please Hit the 'YES' button If you found this Review Helpful. It encourages me to inspect more and more products so that you could have only the Right Products.",Don't expect after sales service from Voltas . I have purchased new AC having too much noise from compressor. Complaint have been registered from last two month but no one from Voltas visited to resolve the complaint. I have called more than 30 times to customer care but no results . Now I am tired so I decided to write here.,"Reviewing the product after 15 days of use, I got the installation done from a local guy after reading the bad comments on various online site, so I am not commenting on the installation part.Pros:1. The cooling is amazing, it cools the bedroom within 5 minutes2. Extremely silent, you won't come to know the AC is actually, the outer unit makes some noise but that you won't notice3. Easy to operate4. Reasonably pricedCons:1. Has aluminium condenser (and not copper), but the cooling is amazing so that is sorted. Secondly voltas uses some blue technology to avoid rusting so the major two drawbacks of aluminium condenser are taken care off2. The design is basic.I would definitely recommend.","Pros-1.The very first thing is It is a very good product.2.Value for money I bought it for Rs 23,121/-3.Cooling is very fast, within 15min my 280sq ft room is chilled at 18 degrees.4. The remote has almost everything that you need in today's ac.5. The outdoor unit is silent.Cons-1.First please check the seal of the package. Package was somehow tried to open but every other things were in place.2. Installation is Rs 2250/- . 1500 for just making a hole in the wall, drilling screws and mounting the inner unit. The outdoor unit needs a stand that costs 750/-3. If there is a concrete beam for making a hole on the wall will cost you more 1000 rs4. Design of the indoor unit is very simple.5. The installation will take a whole day.6.",The Voltas service centre is the worst possible outfit. They refuse to register the product for warranty. Have tried through email with no response. The phone does not work.  No response. Why can't they have a warranty online without people interface. For a reputed Tata company this sounds fishy.  Not going to buy a Voltas product again.,,The AC was good  well performing. Leakage was detected but Voltas could not fix.Amazon accepted the return on account of defected product. Customer centric service from Amazon.,B00LWRDDNQ," 28,995.00",Voltas,,12 reviews,3 Star Rating,"Voltas 183 Cye Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen","38,490.00",Remote Control,1.5T 183 Cye,#80,"#84,720",White,1666 Watts,Split,3.3 out of 5 stars,230 Volts,http://www.amazon.in/Voltas-183-Cye-Rating-Aluminium/dp/B00LWRDDNQ/ref=sr_1_72/255-3436166-3608068?ie=UTF8&qid=1485033342&s=kitchen&sr=1-72
,1.5 tons,,"In Hyderabad installation will be delayed.Be prepare for 15days wait for installation.After a lot of pressure finally they installed my AC after 10days.The main issue with the unit when you switch off your AC with remote and forget to off the power switch ,If power off and on ,the moment power came back the AC unit will start on its own will make a huge Power bill in your pocket.I made a complaint on 09-05-2016 and till today 13-05-2016 no one attended the fault.When I contacted cutmercare ...the common answers ate im sorry ...will be attended...etc.Very very bad after sale service in Hyderabad.After a 3 months of usage it's still worst.The AC will switch on its own ....","AC cooling is not proper, white blinks 4 times and as per manual it says problem with outdoor unit. Already registered a complain with HITACHI and no one has attended even after 48 hours","AC cooling is not appropriate as per 1.5 ton AC. I have to use this AC on 18-degree celsius. Looks like it only increasing the bill, not Colling.. I will not recommend this product at least from Amazon.",,,,,B01BSNSDIS," 38,700.00",Hitachi,,6 reviews,3 Star Rating,"Hitachi RAU318IWD Zunoh Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen","44,390.00",Remote Control,RAU318IWD,#33,"#20,276",White,,Split,3.0 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU318IWD-Zunoh-Rating-Copper/dp/B01BSNSDIS/ref=sr_1_96/253-7671111-6185655?ie=UTF8&qid=1485033343&s=kitchen&sr=1-96
,1.5 tons,,"HITACHI's authorised installation engineers misbehaved, manhandled, and verbally abused me on asking for an identity card. And they ran away without giving me bill for the payment I made. Afterwards in the evening 21st April 2016 the same day it all happened, me and my father are getting abusive and threatening calls from the Hitachi's authorised engineer.His name is SULEMANPhone no. 90-15-266934After being physically and verbally abused the HITACHI's engineer is now threatening me on phone and the hitachi company is not Doing anything in the matter I have never ever seen such a low standard for a brand I will never in my life buy a hitachi product please guys don't buy don't get abused.",,,,,,,B00LHOAGUW," 37,000.00",Hitachi,,11 reviews,3 Star Rating,"Hitachi RAU318HUDD Kampa Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen","38,390.00",Remote Control,RAU318HUDD,#123,"#1,34,058",White,1625 Watts,Split,2.4 out of 5 stars,230 Volts,http://www.amazon.in/Hitachi-RAU318HUDD-Kampa-Rating-Copper/dp/B00LHOAGUW/ref=sr_1_120/253-5985601-2222315?ie=UTF8&qid=1485033343&s=kitchen&sr=1-120
,1.2 tons,,Cooling is Good and Product is also good but  not user friendly Remote operations.  Cannot make out if AC is OFF or ON without proper display and LED indicators are bit confusing.  Otherwise liked the Product and quality is good.,"Gas leaked in 15 days , not sure at this stage if it's the product or hitachi service workmen.Still not effective, not the  technician says that its due to wrongly installed outdoor unit, who is responsible for the same> Think its the product, HITACHI please wake up and call the  customer 9911988550",Working great. Nice price by amazon. Got it for below 29K after cash back offer. Paid 400/- for installation with my own wall mount bracket and stabilizer. One star less because of untrained Hitachi outsourced installation guys. Were not able to do clean installation. were trying things and then applying it.,,Giving great cooling as of today! Hope it continues to function the same way.,,,B01BSNSDLK," 35,251.00",Hitachi,,8 reviews,5 Star Rating,"Hitachi RAU514AWD Zunoh Split AC (1.2 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen","45,690.00",Remote Control,RAU514AWD,#127,"#1,36,074",White,,Split,3.3 out of 5 stars,,http://www.amazon.in/Hitachi-RAU514AWD-Zunoh-Rating-Copper/dp/B01BSNSDLK/ref=sr_1_121/255-2950882-6178830?ie=UTF8&qid=1485033344&s=kitchen&sr=1-121
,1 tons,22 dB,The best Aircon in the market. the machine stands for its international brand value. This inverter aircons power consumption is so less that i pay EB bill of Rs.1000/- per month in chennai. I run aircon from 8pm to 6am at 23degrees on economy mode. Best value for money. Fourth class beggars are running the service for this company OGeneral. Fifth rated service. is provided by the company called ETA in India. It is high time OGeneral should change oe or kick on the butt of ETA beggars. Otherwise OGeneral shall stand to loose their reputation and share in the market. Thick skinned buffallos are working in ETA service centre,"Worst service, got repair after a year... too expensive for component. Got repair after a year.. Replacement of parts takes a month.. In general please don't go for this AC","AC looks very 1990's. But people using General AC for years say its low maintenance. I hope it is. Not much of sound. Installation service was very bad. Very rude and unprofessional person came to install. Rates he quoted and from company differed. I think it was arranged by Amazon through distributor. They charge 3 times for raw material then usual market rate. Paid 6k. No bill for installation. OGeneral says no bill be provided. Fishy.If it was not brand name and credibility for years, I would have never gone for this.",,Ac is good low electricity bill but after one year too much expensive in service and spare parts not available very bad experience no repairs  of parts only new part or  if not available than total new unit.,,,B00PLQQ64M," 38,150.00",O General,,4 reviews,Inverter,"O General ASGG12JLCA-1.0 Inverter Wall Mounted Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen","42,290.00",Remote Control,ASGG12JLCA,#188,"#2,01,397",White,1095 Watts,Split,2.5 out of 5 stars,240 Volts,http://www.amazon.in/General-ASGG12JLCA-1-0-Inverter-Mounted-Copper/dp/B00PLQQ64M/ref=sr_1_168/254-0052473-7249172?ie=UTF8&qid=1485033344&s=kitchen&sr=1-168
,2 tons,50 dB,,,,,,,,B010DLXUI4," 40,500.00",Voltas,,,2 Star Rating,"Voltas 2.0TC242CY Split AC (2 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen","46,190.00",Remote Control,2.0 T C 242 CY,#220,"#2,34,539",White,2033 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-2-0TC242CY-Split-Rating-Copper/dp/B010DLXUI4/ref=sr_1_192/253-2361469-7163513?ie=UTF8&qid=1485033345&s=kitchen&sr=1-192
,1.5 tons,,,,,,,,,B01CFY9IKG," 42,105.00",Blue Star,,,5 Star Rating,"Blue Star BI-5HW18ZCWX Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,BI-5HW18ZCWX,#291,"#2,89,650",White,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW18ZCWX-Split-Rating/dp/B01CFY9IKG/ref=sr_1_216/253-3881368-1108531?ie=UTF8&qid=1485033346&s=kitchen&sr=1-216
,1.5 tons,,this ac is just ok ..average performance..but I dont have any major complaints...however the customer care of LLOYD is useless...i keep calling them and they dont have prompt service . They also dont have spare parts if any replacement is needed. One service person told me that It takes up space to keep spare parts !!!! What a joke !!!.Will not recommend LLOYD to anyone. Personally I have moved on to other brands. Never never LLOYD.,Good product. Very fast cooling capacity. Power saving.,"Excellent product product,  pure copper coil. Comparable to ogeneral,  hitachi",,An excellent product. What a cooling capacity!  I got one a week ago and I am highly satisfied with the product. .simply it's value for money.,,,B00PU1C18S," 36,000.00",Lloyd,,7 reviews,5 Star Rating,"Lloyd Sleekstar LS19A5SN Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,LS19A5SN,#253,"#2,69,615",White,1450 Watts,Split,3.9 out of 5 stars,230 Volts,http://www.amazon.in/Lloyd-Sleekstar-LS19A5SN-Split-Rating/dp/B00PU1C18S/ref=sr_1_240/255-0319278-4795462?ie=UTF8&qid=1485033347&s=kitchen&sr=1-240
,1 tons,,,,,,,,,B01CFY8RPI," 21,000.00",Blue Star,,,2 Star Rating,"Blue Star 2WAE081YCF Window AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,2WAE081YCF,#303,"#2,98,849",White,,Window,,,http://www.amazon.in/Blue-Star-2WAE081YCF-Window-Rating/dp/B01CFY8RPI/ref=sr_1_264/255-4754700-8428264?ie=UTF8&qid=1485033347&s=kitchen&sr=1-264
,1.5 tons,29 dB,this AC does not have a temperature meter in the Indoor and remote control does not have a light which makes difficult to see the temperature during night and also difficult to increase or decrease the temperature,With this ac v gaurd stabiliser and installation are free from company but vendor charging both. In night increasing & decreasing tempreture are very difficult because no light in the remote.,Very good product from LG but need to followup with vendor,,,,,B00UTDNYQA," 55,690.00",LG,,3 reviews,Inverter,"LG BSA18IMA Inverter V Split AC (1.5 Ton, White, Aluminium): Amazon.in: Home & Kitchen","55,990.00",Remote Control,BSA18IMA,#381,"#3,65,886",White,1460 Watts,Split,4.7 out of 5 stars,240 Volts,http://www.amazon.in/LG-BSA18IMA-Inverter-Split-Aluminium/dp/B00UTDNYQA/ref=sr_1_288/255-8702941-5224149?ie=UTF8&qid=1485033348&s=kitchen&sr=1-288
,1 tons,47 dB,,,,,,,,B00PU1BSE6," 20,990.00",Lloyd,,,1 Star Rating,"Lloyd LW12A2N Window AC (1 Ton, 1 Star Rating, Cream): Amazon.in: Home & Kitchen",,Remote Control,LW12A2N,#351,"#3,39,246",Cream,,Window,,230 Volts,http://www.amazon.in/Lloyd-LW12A2N-Window-Rating-Cream/dp/B00PU1BSE6/ref=sr_1_312/253-6168561-6697006?ie=UTF8&qid=1485033348&s=kitchen&sr=1-312
,2 tons,44 dB,"Very poor product and service quality. My AC had a circuit board issue in the out door unit and the reason cited is water leaked. in a matter of 14 months after purchase (just out of warranty) that too water leak in outdoor unit...for god's sake it is an outdoor unit that will be in the rain and you say water leaked...how is that not a manufacturing or installation defect...very pathetic...and now in another 6 months, stopped cooling...very pathetic product from samsung...strictly avoid...i purchased in Shahs Electronics store in Chennai and not via amazon...",Please Don't buy this A/C...Its very very bad,"This is a piece of junk . Bought it since the dealership talked about 20 feet air throw and looked good, but thats where it ends, worked beautifully for 6 months, after that its cooling is absolutely non existent. Called Samsung customer care several times, their AC technician doesnt even know how to open the damn thing, each visit they would open , clean the filter , close and say this is the max capacity cooling . Youre better off with a blue star or voltas . Samsung stop fleecing customers !!",,,,,B01INII76O," 60,100.00",Samsung,,3 reviews,,"Samsung AR24HV5NBWK Inverter AC (2 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1710 Watts,Split,1.0 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR24HV5NBWK-Inverter-White-Aluminium/dp/B01INII76O/ref=sr_1_336_m/255-1137597-1426617?ie=UTF8&qid=1485033349&s=kitchen&sr=1-336
,2 tons,44 dB,,,,,,,,B01INHC6FI," 43,043.00",Samsung,,,3 Star Rating,"Samsung AR24KC3HATR Split AC (2 Ton, 3 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","49,700.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR24KC3HATR-Split-Rating-Aluminium/dp/B01INHC6FI/ref=sr_1_360_m/255-4249042-5718416?ie=UTF8&qid=1485033350&s=kitchen&sr=1-360
,1.5 tons,43 dB,,,,,,,,B01INHB9W4," 31,941.00",Samsung,,,2 Star Rating,"Samsung AR18KC2HATR Split AC (1.5 Ton, 2 Star Rating, Grey, Aluminium): Amazon.in: Home & Kitchen","36,900.00",Remote Control,Brand Fulfilled,,,Grey,,Split,,,http://www.amazon.in/Samsung-AR18KC2HATR-Split-Rating-Aluminium/dp/B01INHB9W4/ref=sr_1_384_m/255-7427530-5537051?ie=UTF8&qid=1485033351&s=kitchen&sr=1-384
,1.5 tons,43 dB,,,,,,,,B01INHADAI," 37,100.00",Samsung,,,3 Star Rating,"Samsung AR18HC3TXNC Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,,Split,,,http://www.amazon.in/Samsung-AR18HC3TXNC-Split-Rating-White/dp/B01INHADAI/ref=sr_1_408_m/254-1070028-4429166?ie=UTF8&qid=1485033351&s=kitchen&sr=1-408
,1 tons,39 dB,Very good ac. Look is very attractive and also performs its duty very well,,I really regret buying Samsung a.c. I bought this by 2015 and i have serviced three times. It does not work. LG in my other room works fine .. never ever get Samsung ac,,,,,B01INH9ING," 28,800.00",Samsung,,2 reviews,2 Star Rating,"Samsung AR12JC2HATP Split AC (1 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,Remote Control,Brand Fulfilled,,,White,1132 Watts,Split,2.5 out of 5 stars,230 Volts,http://www.amazon.in/Samsung-AR12JC2HATP-Split-Rating-White/dp/B01INH9ING/ref=sr_1_432_m/254-4677708-3553563?ie=UTF8&qid=1485033352&s=kitchen&sr=1-432
,0.75 tons,,,,,,,,,B01CFY9I6A," 32,290.00",Blue Star,,,5 Star Rating,"Blue Star BI-5HW09SAFU Split AC (0.75 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,BI-5HW09SAFU,,,White,,Split,,230 Volts,http://www.amazon.in/Blue-Star-BI-5HW09SAFU-Rating-Copper/dp/B01CFY9I6A/ref=sr_1_456/253-4894346-0995945?ie=UTF8&qid=1485033353&s=kitchen&sr=1-456
,1.5 tons,,,,,,,,,B019GZRDYU," 27,497.00",Midea,,,3 Star Rating,"Midea 18K Flair Split AC (1.5 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen","36,300.00",Remote Control,18K Flair,,,White,,Split,,230 Volts,http://www.amazon.in/Midea-18K-Flair-Split-Rating/dp/B019GZRDYU/ref=sr_1_504/253-0432397-7473327?ie=UTF8&qid=1485033354&s=kitchen&sr=1-504
,1 tons,,,,,,,,,B01BSNSHRA," 50,899.00",Hitachi,,,5 Star Rating,"Hitachi RAU512IWEA Kashikoi Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen","56,690.00",Remote Control,RAU512IWEA,#502,"#4,99,820",White,,Split,,,http://www.amazon.in/Hitachi-RAU512IWEA-Kashikoi-Rating-Copper/dp/B01BSNSHRA/ref=sr_1_480/253-8015284-1974655?ie=UTF8&qid=1485033354&s=kitchen&sr=1-480
,2 tons,51 dB,,,,,,,,B010DLYTF2,,Voltas,,,,"Voltas 2.0T24VEYW Split AC (2 Ton, White, Aluminium): Amazon.in: Home & Kitchen",,Remote Control,2.0 T 24V EY-W,#401,"#3,89,838",White,1985 Watts,Split,,230 Volts,http://www.amazon.in/Voltas-2-0T24VEYW-Split-White-Aluminium/dp/B010DLYTF2/ref=sr_1_528/255-7795295-9344622?ie=UTF8&qid=1485033354&s=kitchen&sr=1-528
,1.5 tons,35 dB,,,,,,,,B00Y2U41PO," 36,490.00",LG,,,2 Star Rating,"LG LSA5AT2D Split AC (1.5 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,LSA5AT2D,,,White,1535 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA5AT2D-Split-Rating-Copper/dp/B00Y2U41PO/ref=sr_1_552/253-0654395-5750743?ie=UTF8&qid=1485033355&s=kitchen&sr=1-552
,2 tons,47 dB,,,,,,,,B00VUTX09I," 42,840.00",Carrier,,,3 Star Rating,"Carrier 24K Octra Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,Remote Control,42KGE - 024Mm,,,White,1910 Watts,Split,,230 Volts,http://www.amazon.in/Carrier-Octra-Split-Rating-Copper/dp/B00VUTX09I/ref=sr_1_576/255-5007735-9965917?ie=UTF8&qid=1485033356&s=kitchen&sr=1-576
,1.5 tons,36 dB,"This model is really useful to you and mosquito avoid function necessary in Indian atmosphere,, new skim is better than others,, 5years garranty for radiator & gas filling free,, every company give only 5years for compressor,, good cooling system and power saver",,"I have purchased this AC .About two months ago .This AC is very nice and the features are awesome .Especially the mosquito technology and energy saving mode .It is fully made up of copper .I've bought this AC in defence canteen for Rs.29,690 .",,,,,B00UTDQ0WU," 32,790.00",LG,,2 reviews,3 Star Rating,"LG LSA5AT3D1 L-Aura Terminator Split AC (1.5 Ton, 3 Star Rating, Silver, Aluminium): Amazon.in: Home & Kitchen","37,990.00",Remote Control,LSA5AT3D1,#17,"#11,452",Silver,1615 Watts,Split,4.5 out of 5 stars,230 Volts,http://www.amazon.in/LG-LSA5AT3D1-L-Aura-Terminator-Aluminium/dp/B00UTDQ0WU/ref=sr_1_624/254-6710932-3084243?ie=UTF8&qid=1485033357&s=kitchen&sr=1-624
,1 tons,30 dB,,,,,,,,B00U2DXY62," 43,190.00",Hitachi,,,Inverter,"Hitachi RAU012KVEA Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",,,RAU012KVEA,,,White,1140 Watts,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU012KVEA-Inverter-Split-Copper/dp/B00U2DXY62/ref=sr_1_648/254-0350253-2591979?ie=UTF8&qid=1485033358&s=kitchen&sr=1-648
,1.5 tons,34 dB,,,,,,,,B00U2DY1DC," 51,690.00",Hitachi,,,Inverter,"Hitachi RAU018KVEA Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,,RAU018KVEA,,,White,1850 Watts,Split,,230 Volts,http://www.amazon.in/Hitachi-RAU018KVEA-Inverter-Split-Copper/dp/B00U2DY1DC/ref=sr_1_647/254-0350253-2591979?ie=UTF8&qid=1485033358&s=kitchen&sr=1-647
,1 tons,35 dB,,,,,,,,B00TZMSNXA," 32,990.00",LG,,,3 Star Rating,"LG LSA3MP3D L-Maxima Plus Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",,,LSA3MP3D,,,White,1070 Watts,Split,,230 Volts,http://www.amazon.in/LG-LSA3MP3D-L-Maxima-Rating-Aluminium/dp/B00TZMSNXA/ref=sr_1_696/255-0391005-1198123?ie=UTF8&qid=1485033359&s=kitchen&sr=1-696
,1.5 tons,,,,,,,,,B00RZDYM36," 45,090.00",Voltas,,,,"Voltas 18H-Elegant R Split AC (1.5 Ton, Red): Amazon.in: Home & Kitchen",,,18H-Elegant R,,,Red,,Split,,230 Volts,http://www.amazon.in/Voltas-18H-Elegant-Split-1-5-Ton/dp/B00RZDYM36/ref=sr_1_720/254-6304162-7047502?ie=UTF8&qid=1485033359&s=kitchen&sr=1-720
,1 tons,41 dB,,,,,,,,B00RXDLRGS," 43,060.00",Panasonic,,,5 Star Rating,"Panasonic CSCUXC12PKY Split AC (1 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,,CSCUXC12PKY,,,White,,Split,,230 Volts,http://www.amazon.in/Panasonic-CSCUXC12PKY-Split-Rating-Copper/dp/B00RXDLRGS/ref=sr_1_744/253-7989347-9191108?ie=UTF8&qid=1485033360&s=kitchen&sr=1-744
,1 tons,,,,,,,,,B00RGHECJ0," 32,990.00",Panasonic,,,2 Star Rating,"Panasonic CS/CU-YC12QKYT2 Split AC (1 Ton, 2 Star Rating, Metallic Red, Copper): Amazon.in: Home & Kitchen",,,CS/CU-YC12QKYT2,,,Metallic Red,,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-CU-YC12QKYT2-Rating-Metallic/dp/B00RGHECJ0/ref=sr_1_768/255-3900494-5060325?ie=UTF8&qid=1485033360&s=kitchen&sr=1-768
,1.5 tons,,,,,,,,,B00REFYTHE," 44,600.00",Blue Star,,,5 Star Rating,"Blue Star 5HW18ZARF1 Split AC (1.5 Ton, 5 Star Rating, Wine Red, Aluminium): Amazon.in: Home & Kitchen",,,5HW18ZARF1,,,Wine Red,1450 Watts,Split,,230 Volts,http://www.amazon.in/Blue-Star-5HW18ZARF1-Rating-Aluminium/dp/B00REFYTHE/ref=sr_1_792?ie=UTF8&qid=1485033361&s=kitchen&sr=1-792
,2 tons,,,,,,,,,B00REFYXLG," 63,400.00",Blue Star,,,Inverter,"Blue Star HNHW24CBF Split AC (2 Ton, White, Copper): Amazon.in: Home & Kitchen","66,200.00",,HNHW24CBF,,,White,,Split,,230 Volts,http://www.amazon.in/Blue-Star-HNHW24CBF-Split-Copper/dp/B00REFYXLG/ref=sr_1_791?ie=UTF8&qid=1485033361&s=kitchen&sr=1-791
,4.5 tons,,,,,,,,,B00REFYZZU," 115,420.00",Blue Star,,,Inverter,"Blue Star HN4hpAFO Split AC (4.5 Ton, White, Copper): Amazon.in: Home & Kitchen",,,HN4hpAFO,,,White,,Split,,,http://www.amazon.in/Blue-Star-HN4hpAFO-Split-Copper/dp/B00REFYZZU/ref=sr_1_790?ie=UTF8&qid=1485033361&s=kitchen&sr=1-790
,0.75 tons,,,,,,,,,B00REFZ59A," 30,800.00",Daikin,,,,"Daikin FTKE25GV Split AC (0.75 Ton, White): Amazon.in: Home & Kitchen",,,FTKE25GV,,,White,746 Watts,Split,,240 Volts,http://www.amazon.in/Daikin-FTKE25GV-Split-0-75-White/dp/B00REFZ59A/ref=sr_1_788?ie=UTF8&qid=1485033361&s=kitchen&sr=1-788
,1 tons,,,,,,,,,B00REFZ7TI," 37,100.00",Daikin,,,,"Daikin FTKE35GV Split AC (1 Ton, White): Amazon.in: Home & Kitchen",,,FTKE35GV,,,White,955 Watts,Split,,230 Volts,http://www.amazon.in/Daikin-FTKE35GV-Split-Ton-White/dp/B00REFZ7TI/ref=sr_1_787?ie=UTF8&qid=1485033361&s=kitchen&sr=1-787
,2 tons,,,,,,,,,B00REFZABS," 62,600.00",Daikin,,,,"Daikin FTKD71FV Split AC (2 Ton, White): Amazon.in: Home & Kitchen",,,FTKD71FV,,,White,,Split,,,http://www.amazon.in/Daikin-FTKD71FV-Split-Ton-White/dp/B00REFZABS/ref=sr_1_786?ie=UTF8&qid=1485033361&s=kitchen&sr=1-786
,0.75 tons,,,,,,,,,B00REFZFNG," 29,500.00",Daikin,,,,"Daikin FT25MV Split AC (0.75 Ton, White): Amazon.in: Home & Kitchen",,,FT25MV,,,White,765 Watts,Split,,230 Volts,http://www.amazon.in/Daikin-FT25MV-Split-0-75-White/dp/B00REFZFNG/ref=sr_1_784?ie=UTF8&qid=1485033361&s=kitchen&sr=1-784
,1 tons,,,,,,,,,B00REFZIU6," 32,472.00",Daikin,,,4 Star Rating,"Daikin FT35MV Split AC (1 Ton, 4 Star Rating, White): Amazon.in: Home & Kitchen","35,600.00",,FT35MV,,,White,1088 Watts,Split,,230 Volts,http://www.amazon.in/Daikin-FT35MV-Split-Rating-White/dp/B00REFZIU6/ref=sr_1_783?ie=UTF8&qid=1485033361&s=kitchen&sr=1-783
,0.75 tons,27 dB,,,,,,,,B00REFZMVQ," 29,590.00",O General,,,2 Star Rating,"O General ASGA09AAC Split AC (0.75 Ton, 2 Star Rating, White): Amazon.in: Home & Kitchen",,,ASGA09AAC,,,White,920 Watts,Split,,240 Volts,http://www.amazon.in/General-ASGA09AAC-Split-Rating-White/dp/B00REFZMVQ/ref=sr_1_782?ie=UTF8&qid=1485033361&s=kitchen&sr=1-782
,1 tons,,,,,,,,,B00RGHDEPI," 36,990.00",Panasonic,,,3 Star Rating,"Panasonic CS/CU-YC12QKYT3 Split AC (1 Ton, 3 Star Rating, Metallic Red, Copper): Amazon.in: Home & Kitchen",,,CS/CU-YC12QKYT3,,,Metallic Red,,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-CU-YC12QKYT3-Rating-Metallic/dp/B00RGHDEPI/ref=sr_1_780?ie=UTF8&qid=1485033361&s=kitchen&sr=1-780
,1.5 tons,,,,,,,,,B00RGHDALG," 46,990.00",Panasonic,,,5 Star Rating,"Panasonic CS/CU-KC18QKY Split AC (1.5 Ton, 5 Star Rating, White, Copper): Amazon.in: Home & Kitchen",,,CS/CU-KC18QKY,,,White,1540 Watts,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-CU-KC18QKY-Rating-Copper/dp/B00RGHDALG/ref=sr_1_781?ie=UTF8&qid=1485033361&s=kitchen&sr=1-781
,1.5 tons,,,,,,,,,B00RGHDHG4," 41,990.00",Panasonic,,,3 Star Rating,"Panasonic CS/CU-YC18QKYT3 Split AC (1.5 Ton, 3 Star Rating, Metallic Red, Copper): Amazon.in: Home & Kitchen",,,CS/CU-YC18QKYT3,,,Metallic Red,,Split,,,http://www.amazon.in/Panasonic-CS-CU-YC18QKYT3-Rating-Metallic/dp/B00RGHDHG4/ref=sr_1_779?ie=UTF8&qid=1485033361&s=kitchen&sr=1-779
,1 tons,,,,,,,,,B00RGHDN40," 36,990.00",Panasonic,,,3 Star Rating,"Panasonic CS/CU-YC12QKYS3 Split AC (1 Ton, 3 Star Rating, Silver, Copper): Amazon.in: Home & Kitchen",,,CS/CU-YC12QKYS3,,,Silver,,Split,,,http://www.amazon.in/Panasonic-CS-CU-YC12QKYS3-Rating-Silver/dp/B00RGHDN40/ref=sr_1_777?ie=UTF8&qid=1485033361&s=kitchen&sr=1-777
,1.5 tons,,,,,,,,,B00RGHDPZ2," 33,652.00",Panasonic,,,3 Star Rating,"Panasonic CS/CU-YC18QKYS3 Split AC (1.5 Ton, 3 Star Rating, Silver, Copper): Amazon.in: Home & Kitchen",,,CS/CU-YC18QKYS3,,,Silver,,Split,,230 Volts,http://www.amazon.in/Panasonic-CS-CU-YC18QKYS3-Rating-Silver/dp/B00RGHDPZ2/ref=sr_1_776?ie=UTF8&qid=1485033361&s=kitchen&sr=1-776
